"","Year","Days Tmax < 0 degrees Celsius"
"1","1968","62.00"
"2","1969","63.50"
"3","1970","60.00"
"4","1971","59.50"
"5","1972","57.50"
"6","1973","60.50"
"7","1974","61.00"
"8","1975","61.00"
"9","1976","58.50"
"10","1977","64.50"
"11","1978","59.00"
"12","1979","58.50"
"13","1980","58.00"
"14","1981","57.00"
"15","1982","52.00"
"16","1983","65.00"
"17","1984","63.00"
"18","1985","62.50"
"19","1986","55.50"
"20","1987","55.00"
"21","1988","60.50"
"22","1989","54.00"
"23","1990","60.00"
"24","1991","53.50"
"25","1992","61.50"
"26","1993","60.00"
"27","1994","59.50"
"28","1995","57.50"
"29","1996","57.50"
"30","1997","58.00"
"31","1998","57.00"
"32","1999","53.50"
"33","2000","49.50"
"34","2001","57.50"
"35","2002","48.00"
"36","2003","51.50"
"37","2004","53.00"
